backup_path,category,extension,size_bytes,sha256,sensitive,publishable,duplicate_of,target_tour,alt_text
Khonepasoiy,image,(none),6938814,f351697c5767ef6efed2e228e9d56afbb74d6c43660a283d6844be4376345497,no,yes,,,
Tad Fan,image,(none),6905543,30ba5f28ed3f2193bd580637368925c364547c8739bdab0ba8a05ca19a5fa317,no,yes,,,
20180615_110436.jpg,image,.jpg,6798154,ee40cc798c83a290212534ccf806e4adc5657a149811bc31e6caf410707bd64e,no,yes,,,
Dan Sinxai in Bolaven Plateau,image,(none),6502635,c6255fbac557df4fc3fb36628e6fb3d5b56e3fbec8a6203e5662f9e4c68effa0,no,yes,,,
Dan Sinxai in Bolaven Plateau 4,image,(none),6427791,99461cee12353e88afbb89dfe7716c6f0552181c423e46e5100171b180567e49,no,yes,,,
Don Falang,image,(none),6407690,65afb93563f4bf3a2a10c6422b65a772dcfb79233c4a311ede05a86cdcd5b052,no,yes,,,
Dan Sinxai in Bolaven Plateau 3,image,(none),6280877,dc0fdbe9a95b9f61e29962f9053c99084d7f39bccf0e5b239b7493d220a255e7,no,yes,,,
20180511_131412.jpg,image,.jpg,6244393,d8c8ee5965d0b6784374a3be0edabf882c1ef96a1b0caf3d7e7a16fb95414a7d,no,yes,,,
20160918_131609.jpg,image,.jpg,6129533,35514397f9863254afc813ca7c8c00ebc7ede92feb11dcddad0dd5709ab5071f,no,yes,,,
20180221_130349.jpg,image,.jpg,6122151,cef7fb8b2ed3d671f095a8c80fafab17813a8ef12bec636c7132782abf1c3d20,no,yes,,,
Lao Nippon Bridge Pakse,image,(none),6115520,7c01032575c7cecfcb557499cd2bd8c557b45be396e978cae2017ebebe1ec99b,no,yes,,,
Dan Sinxai in Bolaven Plateau 5,image,(none),6052169,73ab189487949799dd4d0d40c5ea91fd203586e5b696ab7f0d27c5a9b96cbd5a,no,yes,,,
Done Falang,image,(none),5945335,4da2fa7e2723bdae68cad83b1c3c5c566b5d1d13c2ec5e94e758911a1a18a875,no,yes,,,
Liphi waterfall,image,(none),5940290,5d91a46586dbef5ae02ca1b633a3132d0c204ecf89d6b2d82860a6459a3ba61c,no,yes,,,
20180511_091522.jpg,image,.jpg,5895043,f9b998e1ed9f49d07b6b1f82a240a9f5f0db53ce003aa7b79e39f94c5c7c3475,no,yes,,,
20180511_091521.jpg,image,.jpg,5855093,b361a06a1bcf29835a5a9107e5bd191bce69df90e4a8bd27f22633aebbe7cc99,no,yes,,,
Vatphou temple,image,(none),5854495,01f46e3d3cf4b69e8fb111451b54e043f89fc3b68c032c36cf8a82280c8878c6,no,yes,,,
Farmer's house.jpg,image,.jpg,5765771,b87d1beb8ac0314881c68720c43d1f218921764c089e11e9dc2f6a56de8216bc,no,yes,,,
20180221_135202.jpg,image,.jpg,5710275,c27e234af1428e7b2ce74c8b23716026c03ea75900cb578599a5d40f381afe00,no,yes,,,
-9.jpg,image,.jpg,5613496,df1ce1b80ffda2bd851f1faed98dc6656282b69cb6bb980ffa4244d0d675e0ee,no,yes,,,
20180511_091519.jpg,image,.jpg,5522275,29ac7ecbd3dd9d25d9cf4a6f6406bc118a0d09e4cbef32d96ceda728e2df8688,no,yes,,,
20180221_135204.jpg,image,.jpg,5464172,c73a825ea780698ad7a65ba35dc1b9eaf56ca2dda86c57f420ba2ccd0edd9fa0,no,yes,,,
P1020280.JPG,image,.jpg,5453882,6133d3e22ff2b034815005c4328fb236cfc2bb8ab0c9c991df585685d44033ad,no,yes,,,
Coffee picking,image,(none),5442985,006aa5af1cc1f4fd20263d8a8894b67f7d1fa583da037cf0828103cf75a0202d,no,yes,,,
Local ferry,image,(none),5438762,9f175b5f5d8086fb16897ed418e27b23b268040623345cacbf2f3eff6a7a3d41,no,yes,,,
20180221_135206.jpg,image,.jpg,5407715,822208a1e7151cd001fce5ff16620b83cea93a1cbe7316effa7989119031cb75,no,yes,,,
Pakse Hotel Sky2.png,image,.png,5370094,ee5f55a025cff03bf5d2206fb56f213b6edd05b8526095d94b9065d7c7bdf495,no,yes,,,
Prasat Hong Nang Sida,image,(none),5293345,79c3c771afb02604f562fdafc28edd8b43a80f2c684f6559f7b131f8c5566b64,no,yes,,,
20180616_134104.jpg,image,.jpg,5164090,32b11ac62ee202fa672cd8b74cc4976dbe8915c589c11abb8bb627f7e1343b05,no,yes,,,
20180616_134104-2e06fe276153405abdfa77eb2c14e25f.jpg,image,.jpg,5164090,32b11ac62ee202fa672cd8b74cc4976dbe8915c589c11abb8bb627f7e1343b05,no,yes,20180616_134104.jpg,,
4000_ÎLES_1_JOURNÉE.pdf,document,.pdf,5136820,3033531d71e1712bd10745b531c8fc9b9f1f4de4a38df5f7b934a51968006ecd,no,yes,,,
Tad Champee-478b8aa4154e48a496d27e49adb6791d,image,(none),5097431,ac68edf79431873d4f1d063d8228f282c82e08542fc0587859302688dfda0d0e,no,yes,,,
Tad Khamued,image,(none),4998780,087f6d8e113c8fe64c2c56f585ccd43adbd863a6fd27f9b517ebd7099ad1d155,no,yes,,,
20180325_175328.jpg,image,.jpg,4958457,6c201d6c822a3afd7b2fc2ea30cdc058d31f96ff9b1e401bfd0cc53acd259f47,no,yes,,,
Watphou temple,image,(none),4858459,7262446f31212b7f5ee1a234dc594e32d777e61c416f7c06401199e02a692111,no,yes,,,
20180320_074048.jpg,image,.jpg,4742288,2e848bf62e089197485f95e22e60847740f0a151a3bf385ea6bf9ca49fdd4702,no,yes,,,
20180320_074050.jpg,image,.jpg,4687204,930503e3187fdd5f00097bb6e78aab6386ace92f72a854a546b079d7250971e9,no,yes,,,
CC1971 coffee in Bolaven Plateau,image,(none),4645115,3c5d25735bf76c69d6cf32fc085beba12aaa74ce14d61e7069b05c3b41fce7ac,no,yes,,,
20180320_074102.jpg,image,.jpg,4604011,6d7098a42ef446dccb1163453339c13bcbfb17a4e5628a51bce1d49929f53e70,no,yes,,,
20180507_200227.jpg,image,.jpg,4594533,372aa3919d2989a7b25eec6a0a31073c86e3cf88b441224239b1a20d7371a9bf,no,yes,,,
P1030374.JPG,image,.jpg,4563775,4c019f98ebb51fb85484f31692baf26938a3600e6b109aee189d8aabe7c0458d,no,yes,,,
20180221_130456.jpg,image,.jpg,4551445,7946f86596e01214a5e6c589673fdb65fee2176be8b55ab205d70b96cc5660aa,no,yes,,,
Volcano in Bolaven Plateau 4,image,(none),4442615,d974ead33c1816bf88ca853114374f666ad85666398bedbaa14c7a054e730e0d,no,yes,,,
4000 ISLANDS TWO DAYS+VATPHU.pdf,document,.pdf,4437788,2f535e912097ea5c800a856adc09a3c730ca8686e0fd2d061e7e80d3da2b8269,no,yes,,,
20180511_181955.jpg,image,.jpg,4437671,34bd52d3620cb77222e1aef8ef94e907479ff3129c29a08b3bacb0dfc07765b1,no,yes,,,
Dao Hueang market in Pakse,image,(none),4203369,bbf8ad00ae6a8b4d17421d9989cba46c73869f238b59df3b77f24c0eb27e8adb,no,yes,,,
89668a2a-a0e1-4cb2-bd80-18ef06d62f3a.png,image,.png,4202201,913af62a93dce40aebd4cd6739fb04506a4338f6ac982fe85e8888c567758a1b,no,yes,,,
6cae3d5d-7298-4eef-b648-783eabd453c0.png,image,.png,4202201,1dfb380bc6058f8015f142f380b045623ad65fe1bfb024a0a39c26a66ac18667,no,yes,,,
9e006534-837a-4b23-b86e-a99d5395b4ab.png,image,.png,4202201,2caa8ddf2e87cf132f52665af0d082b733e880a67b03e48a2709a61da8fc36b6,no,yes,,,
d53e3485-0135-4024-9189-b22519980fab.png,image,.png,4202201,5a104f71a8712194bcaf6daa46f39df4d0c1d46cd1d1660190c6da14993847cb,no,yes,,,
547a0f3f-f3a6-4df7-98a0-03898da83a73.png,image,.png,4202201,15c3076648453abd9dd42251a78f89fcc1d2a27032977991072b8072a234efdb,no,yes,,,
49a09b1a-2125-410a-a99d-6cff2107e330.png,image,.png,4202201,f53b366c123a52e467425b9f38d34bfd57a3504522b1b16e93614fcc1c1b115e,no,yes,,,
def6f2d4-0cf7-4e3f-ac9f-3bbc69f330fc.png,image,.png,4202201,4a8f5b82bf8c0ce9eb59057e2eb12129d95e5300c074a94ae3ca6a702c6ddf48,no,yes,,,
Dan Sinxai in Bolaven Plateau 1,image,(none),4159712,a46d745d1888486e0218c8b5375a80d10681f3c5ded51e4d1ebeaaaeec2a2621,no,yes,,,
Bolaven Plateau-a38dd41fa7604799b1e4bb620f317e83,image,(none),4122446,8544a8cace4a52071854268f7180685fb0fa0b547d15df3721c185c97c4ac265,no,yes,,,
Don Khon,image,(none),4005453,d3cb4690098f2996534193c7f3543b4f5d4e2f78a86d0bce05a5589ee61c4c0f,no,yes,,,
Hong Nang Sida,image,(none),3996804,e887b8714b8fc8ae66321a7736d1d24966c52c6c2c5ee04262b7d760dc3cf0de,no,yes,,,
Car service 4 days.pdf,document,.pdf,3996136,2cc6dc4e5fc54479f7428c2ced028e4252a53f46c7d6d9b68e326ccdfd7d1706,no,yes,,,
Car service 4 days-7c9790014c50488794d4ef56d6af1f4f.pdf,document,.pdf,3996136,2cc6dc4e5fc54479f7428c2ced028e4252a53f46c7d6d9b68e326ccdfd7d1706,no,yes,Car service 4 days.pdf,,
20180604_181313.jpg,image,.jpg,3894350,0c89d22f45bd96af8e8e07fabc0d27c1dfaafc7e5dff0b43f1d49790742278a4,no,yes,,,
Liphi,image,(none),3886005,c32d21cecfc87f4d28c13b8cda4e06fd0237837fd762bf851e5f9b67dc271dec,no,yes,,,
Lao girl,image,(none),3846020,b4f57ca5078488fb5b4a38e1b8d3258e20b6e3617c11f954d0c2766332a2c764,no,yes,,,
lao girl.jpg,image,.jpg,3846020,b4f57ca5078488fb5b4a38e1b8d3258e20b6e3617c11f954d0c2766332a2c764,no,yes,Lao girl,,
20180320_074027.jpg,image,.jpg,3780078,7bbaffb55c4d3719bfc65f9b1ff7712d6e23ac9ec5d7f40b6af27254dac6fd94,no,yes,,,
20180510_160651.jpg,image,.jpg,3773804,480a921268e6b814e42e35eea19b228e1c183f0d5ae05c86453b88595099f281,no,yes,,,
Tea in Bolaven plateau,image,(none),3725923,f5a5bfe5a67765bcfac14b24810098cc38b0ee1bf1e6727aeb226ced01c24da4,no,yes,,,
20180604_181310.jpg,image,.jpg,3677692,6c434206958b3b8a9c94b8b365e58aa5df2d5224e1e80e7ded32f7b9f4637f65,no,yes,,,
20180510_162321.jpg,image,.jpg,3660859,308cd506332dceb2a729fb019c7170c4187dbe9d99471908ea58aec1de9b2c8e,no,yes,,,
20180510_162319.jpg,image,.jpg,3542960,e68b5a1e35768ac8c7d64ef26051a388d69566e1fa7c36f995299a584c422f4b,no,yes,,,
Fisherman in Champasak,image,(none),3527639,84a3671d2568922c363af6f160fa563e476a3f958158f5f450e8c57d08efca68,no,yes,,,
Pakse hotel breakfast,image,(none),3515908,9e3568def7ab6ce17c7b8f53409525a75de725b906dce540f715934df244a7b6,no,yes,,,
20181018_130103.jpg,image,.jpg,3496750,48a5602ce9b0f74d675aa64e597f61e268e789a1cafc7ab8adb5617e861fc196,no,yes,,,
Tad Yuang waterfall,image,(none),3444300,66019b7dac95bf518a89537c33184182a49dd212c27149b3772b78c670e5ec1e,no,yes,,,
20180523_174825.jpg,image,.jpg,3408061,7e59e2b7c52d87e9aef39a9e653839c164ce3ccf7af5fb861bed9aa8bb72aa24,no,yes,,,
Jhai coffee 1,image,(none),3317621,385b5b9ae1136c59fe9d9ac09992b966cfe27db124a474c2ac9d20ec32ee5b09,no,yes,,,
Khonephapheng 1,image,(none),3311210,1e80db8338a363ac358bd2b6d8d6ecbd42dfb2ec81ee114ba683bd6abb1bd549,no,yes,,,
20180523_182752.jpg,image,.jpg,3254060,ba9f781ddce3b22ee6c61ce4298f5819434f2853c6b6edee3ae121036e35d029,no,yes,,,
20181019_095937.jpg,image,.jpg,3225737,8adad60b9444ce13f2564c26952b7eb87caf3062b2bc30fc2f13adfbd6cb812d,no,yes,,,
Coffee in Bolaven,image,(none),3158925,ed5eb3b0751a2d4c8eb9030a84eee4ab03ff4e2cb96e2ac2428e922bc6ca9580,no,yes,,,
bbfb48cc-d0f7-4570-a971-96c0e58e53bf.png,image,.png,3147861,cb81d9141758fc6bdd558a6b080505aecb13f338546152684ca2e7a087389d25,no,yes,,,
d469ac4d-fc74-4a49-bfca-e6adb7413da5.png,image,.png,3147861,3d6a2ebfa18e11492cc55dca9116b5c93befd954890eb30b16915d4652d4e64f,no,yes,,,
c395d2bd-075c-4952-a96f-b95beb98826d.png,image,.png,3147861,57c4a5b25718874f36a39b4a19fdb4626e04bd3c717cd24bbc0c5ae36c260a83,no,yes,,,
de2f50f3-ed69-4b9e-9569-048ce3d7b48f.png,image,.png,3147861,ec51fc5090256b2af43caa1771897e316728e1e95d5c7e33099bc5c2456c23c7,no,yes,,,
985ead91-5b2b-4dfe-9197-e18de442aede.png,image,.png,3147861,8ff0247cc2c35fe6747d3fd58e434828182cd5b8f7b2ff1f2436e968001060e7,no,yes,,,
3d16c2fd-449d-4442-8c36-c9491330c86d.png,image,.png,3147861,2ef1d970d016fe0c0e03f516d6f8876b11c3fe62424e185e73d21c66eb06d47b,no,yes,,,
ec67fb81-2260-487e-8016-1420bb817ff1.png,image,.png,3147861,ba68e186b85f67e3aeb7a0657d78aa19cec42b3d6fa751e15492d6d51b191275,no,yes,,,
9595d206-8b48-403c-9077-3a0863c7c587.png,image,.png,3147861,f8405314cf1268dbc676a7fb3158fd22e65de53e99a5de19769f33722eaa2e3b,no,yes,,,
a4f30464-c5f7-48b9-9e9e-793d6c84bb57.png,image,.png,3147861,7b5e00d33a02f71c3c5eb3135edd12ddcd868492d2335b90e30d49168be42944,no,yes,,,
